Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-hl7.at.fhir.gkl.ig-tooling.json	6331	-	0	0	0	0	0	0	6	64	0	0	1	0	16	0	0	0	0	0	143	82	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-AkteurHI.json	7192	8	0	36	0	0	1	0	0	26	0	0	0	0	0	0	0	0	0	0	326	755	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-CDAPatient.json	1534	5	0	25	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	116	280	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ErstdokumentationHI.json	21298	7	0	67	0	0	0	0	0	23	0	0	0	0	0	0	0	4	0	0	812	443	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-FolgedokumentationHI.json	23321	7	0	197	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	905	470	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-PatientHI.json	10331	4	0	37	0	0	0	0	0	1117	0	0	0	0	0	0	0	0	0	0	390	351	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-at-core-address.json	5753	4	0	41	3	0	0	0	0	46	0	0	1	0	0	0	0	0	0	0	232	311	0	1	0	6	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-address-additionalInformation.json	1563	4	0	19	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	92	223	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-at-core-ext-patient-religion.json	3890	4	0	14	2	0	0	0	0	712	0	0	0	0	0	0	0	0	0	0	296	322	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-at-core-patient.json	26256	7	0	115	0	0	0	0	0	1499	0	0	0	0	0	0	0	5	0	0	1534	1092	0	0	0	47	0	2
input/resources/ValueSet-v3-EntityCode.xml	3723	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	4740	0	0	0	2	0	0
